"","SampleID","Tree_log","Tree_host","Protocol","Year_since_decay_start","DNA_yields","input","filtered","denoisedF","denoisedR","merged","nonchim","nonfungal_filtered","decontam","quality_filtered","ASV_number"
"62","Q16","birch_06","paper_birch","QIAGEN",1,1.98349835,31445,17252,17158,17196,14244,12687,12580,12203,12162,194
"63","Q17","birch_07","paper_birch","QIAGEN",1,3.517915309,39244,26168,25987,26047,21468,19313,19219,19172,19143,229
"64","Q18","birch_08","paper_birch","QIAGEN",1,2.344262295,38083,11020,10967,10992,9431,8743,8699,8699,8673,154
"65","Q21","birch_01","paper_birch","QIAGEN",7,7.557251908,56563,36115,35919,35865,31468,30717,25285,25285,25222,180
"66","Q22","birch_02","paper_birch","QIAGEN",7,8.125,63337,45491,45139,45010,40739,38660,32838,32576,32434,319
"67","Q23","birch_03","paper_birch","QIAGEN",7,7.529691211,45665,31514,31300,31336,28196,24186,21537,21537,21491,191
"68","Q24","birch_04","paper_birch","QIAGEN",7,12.11401425,41780,28024,27691,27460,24200,22648,18847,18846,18714,232
"69","Q25","birch_05","paper_birch","QIAGEN",7,9.681372549,56973,40868,40620,40650,32294,29365,23932,23932,23865,157
"70","Q26","birch_06","paper_birch","QIAGEN",7,8.419811321,51439,34088,33809,33798,30682,28781,25261,24680,24524,288
"71","Q27","birch_07","paper_birch","QIAGEN",7,1.94278607,69679,47830,47527,47632,40357,37780,35301,35301,35252,173
"72","Q28","birch_08","paper_birch","QIAGEN",7,9.004739336,58237,39014,38721,38836,34980,32216,27102,27083,27027,209
"73","Q33","pine_03","red_pine","QIAGEN",0,6.156274665,45200,28672,28459,28436,23428,23178,11612,11612,11546,246
"74","Q34","pine_04","red_pine","QIAGEN",0,4.996034893,40437,24995,24793,24717,17392,17162,6986,6986,6979,116
"75","Q35","pine_05","red_pine","QIAGEN",0,5.658105939,45744,28520,28328,28289,22740,22430,11335,11335,11325,116
"76","Q36","pine_06","red_pine","QIAGEN",0,0.279136104,50218,24854,24697,24736,19322,18563,18301,18301,18268,154
"77","Q37","pine_07","red_pine","QIAGEN",0,1.125299282,59768,36677,36474,36556,30275,27651,27516,27516,27488,122
"78","Q38","pine_08","red_pine","QIAGEN",0,6.43442623,34976,20900,20778,20775,15921,15674,8754,8754,8746,56
"79","Q39","pine_09","red_pine","QIAGEN",0,9.879518072,53139,34174,33945,33950,25700,25316,10180,10180,10172,66
"80","Q40","pine_10","red_pine","QIAGEN",0,4.242664552,37654,21612,21447,21398,16753,16565,8447,8447,8412,169
"81","Q43","pine_03","red_pine","QIAGEN",1,1.4253703,58173,42041,41868,41883,32675,30933,28889,28889,28841,318
"82","Q44","pine_04","red_pine","QIAGEN",1,3.981331169,56559,38275,37977,38117,33065,31374,29374,29374,29263,353
"83","Q45","pine_05","red_pine","QIAGEN",1,1.598062954,48088,32444,32278,32322,28033,25816,24606,24606,24565,274
"84","Q46","pine_06","red_pine","QIAGEN",1,1.45035461,40769,27001,26848,26852,21031,19760,19117,19117,19051,269
"85","Q47","pine_07","red_pine","QIAGEN",1,0.972405752,91235,61768,61387,61505,49886,45614,44575,44575,44415,397
"86","Q48","pine_08","red_pine","QIAGEN",1,5.138888889,50473,31550,31369,31403,26372,23607,22931,22931,22882,248
"87","Q49","pine_09","red_pine","QIAGEN",1,4.734925132,69496,46418,46083,46209,39317,33908,31889,31889,31823,247
"88","Q50","pine_10","red_pine","QIAGEN",1,1.610488391,58458,38342,38174,38232,32335,29994,29381,29381,29349,227
"89","Q53","pine_03","red_pine","QIAGEN",7,1.000788022,33910,21854,21638,21687,19732,18595,16560,16559,16489,283
"90","Q54","pine_04","red_pine","QIAGEN",7,2.784455128,47270,31553,31318,31340,24760,23221,20550,20550,20486,291
"91","Q55","pine_05","red_pine","QIAGEN",7,1.558752998,44801,31043,30800,30752,23558,22761,18396,18396,18253,300
"92","Q56","pine_06","red_pine","QIAGEN",7,3.547990156,96053,60068,59721,59787,49365,45244,37484,37484,37305,409
"93","Q57","pine_07","red_pine","QIAGEN",7,2.269230769,50724,34805,34594,34608,22891,21132,18722,18722,18621,339
"94","Q58","pine_08","red_pine","QIAGEN",7,1.974693252,41007,27009,26815,26835,22575,21900,18792,18792,18746,193
"95","Q59","pine_09","red_pine","QIAGEN",7,2.061438965,48184,29827,29607,29627,25302,24564,22050,22050,21923,342
"96","Q60","pine_10","red_pine","QIAGEN",7,2.820306205,39734,29929,29765,29766,16968,15410,13531,13531,13501,228
