"","SampleID","Tree_log","Tree_host","Protocol","Year_since_decay_start","DNA_yields","input","filtered","denoisedF","denoisedR","merged","nonchim","nonbacterial_filtered","decontam","quality_filtered","ASV_number"
"19","C23","birch_03","paper_birch","CTAB",7,8.42364532,35718,30900,30496,30494,29768,26816,26561,26561,25099,1955
"20","C24","birch_04","paper_birch","CTAB",7,6.891566265,35993,31506,30496,30584,29146,28291,28189,28189,24641,2362
"21","C25","birch_05","paper_birch","CTAB",7,16.34615385,35260,30421,29828,29792,28871,26504,25209,25208,23238,2228
"22","C26","birch_06","paper_birch","CTAB",7,6.71641791,37225,32157,31559,31542,30655,28004,27821,27821,25367,2210
"23","C27","birch_07","paper_birch","CTAB",7,6.713615023,96,19,19,19,18,12,11,11,NA,NA
"24","C28","birch_08","paper_birch","CTAB",7,11.01176471,40346,35152,34661,34671,33812,32302,32181,32181,30222,2152
"25","C33","pine_03","red_pine","CTAB",0,6.35725429,30613,24798,24716,24729,24315,23817,704,704,525,190
"26","C34","pine_04","red_pine","CTAB",0,4.012588513,36944,27831,27777,27778,27436,26759,284,284,221,75
"27","C35","pine_05","red_pine","CTAB",0,2.461033634,33733,25524,25485,25481,25183,24721,586,586,443,120
"28","C36","pine_06","red_pine","CTAB",0,1.957060281,40632,32727,32612,32611,32069,23822,23517,23517,23259,490
"29","C37","pine_07","red_pine","CTAB",0,2.796803653,35779,30322,30095,30161,29571,19554,19505,19505,19245,781
"30","C38","pine_08","red_pine","CTAB",0,1.061912226,28213,22404,22398,22397,22267,22117,64,64,NA,NA
"31","C39","pine_09","red_pine","CTAB",0,5.576776165,32054,26379,26350,26364,26081,25557,42,42,NA,NA
"32","C40","pine_10","red_pine","CTAB",0,0.625479662,28616,24015,24008,23995,23862,23790,487,487,396,96
"33","C43","pine_03","red_pine","CTAB",1,3.88671875,41774,36534,36260,36278,35637,31955,31772,31772,31210,1103
"34","C44","pine_04","red_pine","CTAB",1,7.478465153,61316,54176,53564,53686,52498,43729,43561,43560,43092,954
