"","SampleID","mix","Relative_abundance","Sample_name","Protocol","Site","Tree_host","Tree_log","Year","Year_since_decay_start","When","DNA_yields","Sample_or_Control","is.neg"
"168","C07","Unknown",0.0844444444444444,"2010_BA7","CTAB","Ground_bark","paper_birch","birch_07",2010,0,"decay_start",3.993610224,"Sample",FALSE
"169","C08","Aequabiliella (A)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"170","C08","Pyrenopeziza (A)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"171","C08","Chalara (A)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"172","C08","Therrya (A)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"173","C08","Trichoderma (A)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"174","C08","Podospora (A)",0.005,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"175","C08","other Ascomycota",0.955,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"176","C08","Basidiobolomycota",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"177","C08","Mycena (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"178","C08","Xenasmatella (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"179","C08","Athelia (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"180","C08","Stypella (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"181","C08","Ceratobasidium (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
"182","C08","Sistotrema (B)",0,"2010_BA8","CTAB","Ground_bark","paper_birch","birch_08",2010,0,"decay_start",1.304635762,"Sample",FALSE
