Sample.ID,Sample_name,Protocol,Site,Tree_host,Tree_log,Year,Year_since_decay_start,When,DNA_yields,Absorbance_ratio,
S07,2010_BA7,SDS,Ground_bark,paper_birch,birch_7,2010,0,decay_start,5.677419355,1.75,
S08,2010_BA8,SDS,Ground_bark,paper_birch,birch_8,2010,0,decay_start,3.429487179,1.69,
S09,2010_BA9,SDS,Ground_bark,paper_birch,birch_9,2010,0,decay_start,4.201954397,1.37,
S10,2010_BA10,SDS,Ground_bark,paper_birch,birch_10,2010,0,decay_start,1.441269841,1.77,
S11,2011_BA1,SDS,Ground_bark,paper_birch,birch_1,2011,1,early,1.152597403,1.45,
S12,2011_BA2,SDS,Ground_bark,paper_birch,birch_2,2011,1,early,1.739549839,1.38,
S13,2011_BA3,SDS,Ground_bark,paper_birch,birch_3,2011,1,early,6.339869281,1.46,
S14,2011_BA4,SDS,Ground_bark,paper_birch,birch_4,2011,1,early,5.806451613,1.38,
S15,2011_BA5,SDS,Ground_bark,paper_birch,birch_5,2011,1,early,1.108280255,1.49,
S16,2011_BA6,SDS,Ground_bark,paper_birch,birch_6,2011,1,early,0.328891581,1.42,
S17,2011_BA7,SDS,Ground_bark,paper_birch,birch_7,2011,1,early,5.382059801,1.5,
S18,2011_BA8,SDS,Ground_bark,paper_birch,birch_8,2011,1,early,3.233552632,1.44,
S19,2011_BA9,SDS,Ground_bark,paper_birch,birch_9,2011,1,early,1.504918033,1.38,
S20,2011_BA10,SDS,Ground_bark,paper_birch,birch_10,2011,1,early,1.467105263,1.33,
S21,2017_BA1,SDS,Ground_bark,paper_birch,birch_1,2017,7,late,0.451456311,1.49,
S22,2017_BA2,SDS,Ground_bark,paper_birch,birch_2,2017,7,late,1.825358852,1.45,
S23,2017_BA3,SDS,Ground_bark,paper_birch,birch_3,2017,7,late,3.031784841,1.52,
S24,2017_BA4,SDS,Ground_bark,paper_birch,birch_4,2017,7,late,1.317961165,1.41,
S25,2017_BA5,SDS,Ground_bark,paper_birch,birch_5,2017,7,late,9.108433735,1.65,
S26,2017_BA6,SDS,Ground_bark,paper_birch,birch_6,2017,7,late,1.228287841,1.46,
S27,2017_BA7,SDS,Ground_bark,paper_birch,birch_7,2017,7,late,3.163017032,1.54,
S28,2017_BA8,SDS,Ground_bark,paper_birch,birch_8,2017,7,late,7.259615385,1.61,
S29,2017_BA9,SDS,Ground_bark,paper_birch,birch_9,2017,7,late,1.479262673,1.51,
S30,2017_BA10,SDS,Ground_bark,paper_birch,birch_10,2017,7,late,0.794392523,1.33,
S31,2010_PA1,SDS,Ground_bark,red_pine,pine_1,2010,0,decay_start,1.939194741,NA,
S32,2010_PA2,SDS,Ground_bark,red_pine,pine_2,2010,0,decay_start,6.774441878,NA,
S33,2010_PA3,SDS,Ground_bark,red_pine,pine_3,2010,0,decay_start,6.513554217,NA,
S34,2010_PA4,SDS,Ground_bark,red_pine,pine_4,2010,0,decay_start,6.265356265,NA,
S35,2010_PA5,SDS,Ground_bark,red_pine,pine_5,2010,0,decay_start,6.206630686,NA,
S36,2010_PA6,SDS,Ground_bark,red_pine,pine_6,2010,0,decay_start,1.678628389,NA,
S37,2010_PA7,SDS,Ground_bark,red_pine,pine_7,2010,0,decay_start,1.377672209,NA,
S38,2010_PA8,SDS,Ground_bark,red_pine,pine_8,2010,0,decay_start,6.487956488,NA,
S39,2010_PA9,SDS,Ground_bark,red_pine,pine_9,2010,0,decay_start,7.826810991,NA,
S40,2010_PA10,SDS,Ground_bark,red_pine,pine_10,2010,0,decay_start,8.591205212,NA,
S41,2011_PA1,SDS,Ground_bark,red_pine,pine_1,2011,1,early,2.346214511,1.33,
S42,2011_PA2,SDS,Ground_bark,red_pine,pine_2,2011,1,early,4.975328947,1.73,
S43,2011_PA3,SDS,Ground_bark,red_pine,pine_3,2011,1,early,4.12808642,1.52,
S44,2011_PA4,SDS,Ground_bark,red_pine,pine_4,2011,1,early,5.979938272,1.69,
S45,2011_PA5,SDS,Ground_bark,red_pine,pine_5,2011,1,early,4.635761589,1.47,
S46,2011_PA6,SDS,Ground_bark,red_pine,pine_6,2011,1,early,2.356321839,1.35,
S47,2011_PA7,SDS,Ground_bark,red_pine,pine_7,2011,1,early,2.281591264,1.39,
S48,2011_PA8,SDS,Ground_bark,red_pine,pine_8,2011,1,early,7.067424858,1.84,
S49,2011_PA9,SDS,Ground_bark,red_pine,pine_9,2011,1,early,5.391776571,1.6,
S50,2011_PA10,SDS,Ground_bark,red_pine,pine_10,2011,1,early,6.354249404,1.63,
S51,2017_PA1,SDS,Ground_bark,red_pine,pine_1,2017,7,late,1.078582435,NA,
S52,2017_PA2,SDS,Ground_bark,red_pine,pine_2,2017,7,late,0.514705882,NA,
S53,2017_PA3,SDS,Ground_bark,red_pine,pine_3,2017,7,late,1.054868624,NA,
S54,2017_PA4,SDS,Ground_bark,red_pine,pine_4,2017,7,late,1.107619796,NA,
S55,2017_PA5,SDS,Ground_bark,red_pine,pine_5,2017,7,late,0.979782271,NA,
S56,2017_PA6,SDS,Ground_bark,red_pine,pine_6,2017,7,late,1.166281755,NA,
S57,2017_PA7,SDS,Ground_bark,red_pine,pine_7,2017,7,late,2.822892498,NA,
S58,2017_PA8,SDS,Ground_bark,red_pine,pine_8,2017,7,late,1.087124133,NA,
S59,2017_PA9,SDS,Ground_bark,red_pine,pine_9,2017,7,late,1.168478261,NA,
S60,2017_PA10,SDS,Ground_bark,red_pine,pine_10,2017,7,late,1.070588235,NA,
