SampleID	Sample_name	Protocol	Site	Tree_host	Tree_log	Year	Year_since_decay_start	When	DNA_yields	Sample_or_Control
C59	2017_PA9	CTAB	Ground_bark	red_pine	pine_09	2017	7	late	1.133333333	Sample
C60	2017_PA10	CTAB	Ground_bark	red_pine	pine_10	2017	7	late	2.583465819	Sample
Q0	control Q	QIAGEN	NA	NA	NA	NA	NA	NA	0.01	Control
Q01	2010_BA1	QIAGEN	Ground_bark	paper_birch	birch_01	2010	0	decay_start	1.649659864	Sample
Q02	2010_BA2	QIAGEN	Ground_bark	paper_birch	birch_02	2010	0	decay_start	2.101010101	Sample
Q03	2010_BA3	QIAGEN	Ground_bark	paper_birch	birch_03	2010	0	decay_start	2.850993377	Sample
Q04	2010_BA4	QIAGEN	Ground_bark	paper_birch	birch_04	2010	0	decay_start	2.533557047	Sample
Q05	2010_BA5	QIAGEN	Ground_bark	paper_birch	birch_05	2010	0	decay_start	2.349834983	Sample
Q06	2010_BA6	QIAGEN	Ground_bark	paper_birch	birch_06	2010	0	decay_start	2.565789474	Sample
Q07	2010_BA7	QIAGEN	Ground_bark	paper_birch	birch_07	2010	0	decay_start	2.554098361	Sample
Q08	2010_BA8	QIAGEN	Ground_bark	paper_birch	birch_08	2010	0	decay_start	1.493506494	Sample
Q11	2011_BA1	QIAGEN	Ground_bark	paper_birch	birch_01	2011	1	early	2.588039867	Sample
Q12	2011_BA2	QIAGEN	Ground_bark	paper_birch	birch_02	2011	1	early	1.275409836	Sample
Q13	2011_BA3	QIAGEN	Ground_bark	paper_birch	birch_03	2011	1	early	3.121311475	Sample
Q14	2011_BA4	QIAGEN	Ground_bark	paper_birch	birch_04	2011	1	early	2.198717949	Sample
Q15	2011_BA5	QIAGEN	Ground_bark	paper_birch	birch_05	2011	1	early	4.234527687	Sample
Q16	2011_BA6	QIAGEN	Ground_bark	paper_birch	birch_06	2011	1	early	1.98349835	Sample
Q17	2011_BA7	QIAGEN	Ground_bark	paper_birch	birch_07	2011	1	early	3.517915309	Sample
Q18	2011_BA8	QIAGEN	Ground_bark	paper_birch	birch_08	2011	1	early	2.344262295	Sample
Q21	2017_BA1	QIAGEN	Ground_bark	paper_birch	birch_01	2017	7	late	7.557251908	Sample
Q22	2017_BA2	QIAGEN	Ground_bark	paper_birch	birch_02	2017	7	late	8.125	Sample
Q23	2017_BA3	QIAGEN	Ground_bark	paper_birch	birch_03	2017	7	late	7.529691211	Sample
Q24	2017_BA4	QIAGEN	Ground_bark	paper_birch	birch_04	2017	7	late	12.11401425	Sample
Q25	2017_BA5	QIAGEN	Ground_bark	paper_birch	birch_05	2017	7	late	9.681372549	Sample
Q26	2017_BA6	QIAGEN	Ground_bark	paper_birch	birch_06	2017	7	late	8.419811321	Sample
Q27	2017_BA7	QIAGEN	Ground_bark	paper_birch	birch_07	2017	7	late	1.94278607	Sample
Q28	2017_BA8	QIAGEN	Ground_bark	paper_birch	birch_08	2017	7	late	9.004739336	Sample
Q33	2010_PA3	QIAGEN	Ground_bark	red_pine	pine_03	2010	0	decay_start	6.156274665	Sample
Q34	2010_PA4	QIAGEN	Ground_bark	red_pine	pine_04	2010	0	decay_start	4.996034893	Sample
Q35	2010_PA5	QIAGEN	Ground_bark	red_pine	pine_05	2010	0	decay_start	5.658105939	Sample
Q36	2010_PA6	QIAGEN	Ground_bark	red_pine	pine_06	2010	0	decay_start	0.279136104	Sample
Q37	2010_PA7	QIAGEN	Ground_bark	red_pine	pine_07	2010	0	decay_start	1.125299282	Sample
Q38	2010_PA8	QIAGEN	Ground_bark	red_pine	pine_08	2010	0	decay_start	6.43442623	Sample
Q39	2010_PA9	QIAGEN	Ground_bark	red_pine	pine_09	2010	0	decay_start	9.879518072	Sample
Q40	2010_PA10	QIAGEN	Ground_bark	red_pine	pine_10	2010	0	decay_start	4.242664552	Sample
Q43	2011_PA3	QIAGEN	Ground_bark	red_pine	pine_03	2011	1	early	1.4253703	Sample
Q44	2011_PA4	QIAGEN	Ground_bark	red_pine	pine_04	2011	1	early	3.981331169	Sample
Q45	2011_PA5	QIAGEN	Ground_bark	red_pine	pine_05	2011	1	early	1.598062954	Sample
Q46	2011_PA6	QIAGEN	Ground_bark	red_pine	pine_06	2011	1	early	1.45035461	Sample
Q47	2011_PA7	QIAGEN	Ground_bark	red_pine	pine_07	2011	1	early	0.972405752	Sample
Q48	2011_PA8	QIAGEN	Ground_bark	red_pine	pine_08	2011	1	early	5.138888889	Sample
Q49	2011_PA9	QIAGEN	Ground_bark	red_pine	pine_09	2011	1	early	4.734925132	Sample
Q50	2011_PA10	QIAGEN	Ground_bark	red_pine	pine_10	2011	1	early	1.610488391	Sample
Q53	2017_PA3	QIAGEN	Ground_bark	red_pine	pine_03	2017	7	late	1.000788022	Sample
Q54	2017_PA4	QIAGEN	Ground_bark	red_pine	pine_04	2017	7	late	2.784455128	Sample
Q55	2017_PA5	QIAGEN	Ground_bark	red_pine	pine_05	2017	7	late	1.558752998	Sample
Q56	2017_PA6	QIAGEN	Ground_bark	red_pine	pine_06	2017	7	late	3.547990156	Sample
Q57	2017_PA7	QIAGEN	Ground_bark	red_pine	pine_07	2017	7	late	2.269230769	Sample
Q58	2017_PA8	QIAGEN	Ground_bark	red_pine	pine_08	2017	7	late	1.974693252	Sample
Q59	2017_PA9	QIAGEN	Ground_bark	red_pine	pine_09	2017	7	late	2.061438965	Sample
Q60	2017_PA10	QIAGEN	Ground_bark	red_pine	pine_10	2017	7	late	2.820306205	Sample
